G,Date,Start,,,Home,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Wed, Oct 18, 2017",7:00p ET,,Box Score,vs,Philadelphia 76ers,W,,120,115,1,0,W 1,
2,"Fri, Oct 20, 2017",7:00p ET,,Box Score,vs,Detroit Pistons,W,,115,111,2,0,W 2,
3,"Mon, Oct 23, 2017",9:00p ET,,Box Score,@,Denver Nuggets,W,,109,104,3,0,W 3,
4,"Wed, Oct 25, 2017",10:30p ET,,Box Score,@,Los Angeles Lakers,L,OT,99,102,3,1,L 1,
5,"Fri, Oct 27, 2017",10:30p ET,,Box Score,@,Golden State Warriors,L,,117,120,3,2,L 2,
6,"Sun, Oct 29, 2017",6:00p ET,,Box Score,@,Sacramento Kings,W,,110,83,4,2,W 1,
7,"Wed, Nov 1, 2017",7:00p ET,,Box Score,vs,Phoenix Suns,L,,116,122,4,3,L 1,
8,"Fri, Nov 3, 2017",7:00p ET,,Box Score,vs,Cleveland Cavaliers,L,,122,130,4,4,L 2,
9,"Sun, Nov 5, 2017",6:00p ET,,Box Score,@,Toronto Raptors,W,,107,96,5,4,W 1,
10,"Tue, Nov 7, 2017",7:00p ET,,Box Score,vs,Dallas Mavericks,L,,99,113,5,5,L 1,
11,"Thu, Nov 9, 2017",7:00p ET,,Box Score,vs,Los Angeles Lakers,W,,111,95,6,5,W 1,
12,"Sat, Nov 11, 2017",7:00p ET,,Box Score,vs,Atlanta Hawks,W,,113,94,7,5,W 2,
13,"Mon, Nov 13, 2017",7:00p ET,,,vs,Sacramento Kings,,,,,,,,
14,"Wed, Nov 15, 2017",7:30p ET,,,@,Miami Heat,,,,,,,,
15,"Fri, Nov 17, 2017",7:00p ET,,,vs,Miami Heat,,,,,,,,
16,"Sun, Nov 19, 2017",6:00p ET,,,@,Toronto Raptors,,,,,,,,
17,"Mon, Nov 20, 2017",8:00p ET,,,@,Milwaukee Bucks,,,,,,,,
18,"Wed, Nov 22, 2017",7:00p ET,,,@,Charlotte Hornets,,,,,,,,
19,"Sat, Nov 25, 2017",7:00p ET,,,vs,Portland Trail Blazers,,,,,,,,
20,"Tue, Nov 28, 2017",8:00p ET,,,@,Minnesota Timberwolves,,,,,,,,
21,"Wed, Nov 29, 2017",7:00p ET,,,@,Philadelphia 76ers,,,,,,,,
22,"Fri, Dec 1, 2017",7:00p ET,,,vs,Detroit Pistons,,,,,,,,
23,"Mon, Dec 4, 2017",9:00p ET,,,@,Utah Jazz,,,,,,,,
24,"Tue, Dec 5, 2017",10:00p ET,,,@,Portland Trail Blazers,,,,,,,,
25,"Thu, Dec 7, 2017",9:00p ET,,,@,Phoenix Suns,,,,,,,,
26,"Sat, Dec 9, 2017",3:30p ET,,,@,Los Angeles Clippers,,,,,,,,
27,"Tue, Dec 12, 2017",7:30p ET,,,@,Brooklyn Nets,,,,,,,,
28,"Wed, Dec 13, 2017",7:00p ET,,,vs,Memphis Grizzlies,,,,,,,,
29,"Fri, Dec 15, 2017",7:00p ET,,,vs,Los Angeles Clippers,,,,,,,,
30,"Sun, Dec 17, 2017",6:00p ET,,,vs,Cleveland Cavaliers,,,,,,,,
31,"Tue, Dec 19, 2017",7:00p ET,,,vs,New Orleans Pelicans,,,,,,,,
32,"Fri, Dec 22, 2017",7:30p ET,,,@,Brooklyn Nets,,,,,,,,
33,"Sat, Dec 23, 2017",7:00p ET,,,vs,Orlando Magic,,,,,,,,
34,"Mon, Dec 25, 2017",5:30p ET,,,@,Boston Celtics,,,,,,,,
35,"Wed, Dec 27, 2017",7:30p ET,,,@,Atlanta Hawks,,,,,,,,
36,"Fri, Dec 29, 2017",7:00p ET,,,vs,Houston Rockets,,,,,,,,
37,"Sun, Dec 31, 2017",3:30p ET,,,vs,Chicago Bulls,,,,,,,,
38,"Wed, Jan 3, 2018",7:00p ET,,,vs,New York Knicks,,,,,,,,
39,"Fri, Jan 5, 2018",9:30p ET,,,@,Memphis Grizzlies,,,,,,,,
40,"Sat, Jan 6, 2018",8:00p ET,,,vs,Milwaukee Bucks,,,,,,,,
41,"Wed, Jan 10, 2018",7:00p ET,,,vs,Utah Jazz,,,,,,,,
42,"Fri, Jan 12, 2018",7:00p ET,,,vs,Orlando Magic,,,,,,,,
43,"Sat, Jan 13, 2018",7:00p ET,,,vs,Brooklyn Nets,,,,,,,,
44,"Mon, Jan 15, 2018",2:00p ET,,,vs,Milwaukee Bucks,,,,,,,,
45,"Wed, Jan 17, 2018",7:00p ET,,,@,Charlotte Hornets,,,,,,,,
46,"Fri, Jan 19, 2018",8:00p ET,,,@,Detroit Pistons,,,,,,,,
47,"Mon, Jan 22, 2018",8:30p ET,,,@,Dallas Mavericks,,,,,,,,
48,"Thu, Jan 25, 2018",8:00p ET,,,@,Oklahoma City Thunder,,,,,,,,
49,"Sat, Jan 27, 2018",7:30p ET,,,@,Atlanta Hawks,,,,,,,,
50,"Tue, Jan 30, 2018",7:00p ET,,,vs,Oklahoma City Thunder,,,,,,,,
51,"Thu, Feb 1, 2018",7:00p ET,,,vs,Toronto Raptors,,,,,,,,
52,"Sat, Feb 3, 2018",7:00p ET,,,@,Orlando Magic,,,,,,,,
53,"Mon, Feb 5, 2018",7:00p ET,,,@,Indiana Pacers,,,,,,,,
54,"Tue, Feb 6, 2018",8:00p ET,,,@,Philadelphia 76ers,,,,,,,,
55,"Thu, Feb 8, 2018",8:00p ET,,,vs,Boston Celtics,,,,,,,,
56,"Sat, Feb 10, 2018",8:00p ET,,,@,Chicago Bulls,,,,,,,,
57,"Wed, Feb 14, 2018",7:30p ET,,,@,New York Knicks,,,,,,,,
58,"Thu, Feb 22, 2018",8:00p ET,,,@,Cleveland Cavaliers,,,,,,,,
59,"Fri, Feb 23, 2018",7:00p ET,,,vs,Charlotte Hornets,,,,,,,,
60,"Sun, Feb 25, 2018",8:00p ET,,,vs,Philadelphia 76ers,,,,,,,,
61,"Tue, Feb 27, 2018",8:00p ET,,,@,Milwaukee Bucks,,,,,,,,
62,"Wed, Feb 28, 2018",8:00p ET,,,vs,Golden State Warriors,,,,,,,,
63,"Fri, Mar 2, 2018",8:00p ET,,,vs,Toronto Raptors,,,,,,,,
64,"Sun, Mar 4, 2018",6:00p ET,,,vs,Indiana Pacers,,,,,,,,
65,"Tue, Mar 6, 2018",7:00p ET,,,vs,Miami Heat,,,,,,,,
66,"Fri, Mar 9, 2018",8:00p ET,,,@,New Orleans Pelicans,,,,,,,,
67,"Sat, Mar 10, 2018",7:30p ET,,,@,Miami Heat,,,,,,,,
68,"Tue, Mar 13, 2018",7:00p ET,,,vs,Minnesota Timberwolves,,,,,,,,
69,"Wed, Mar 14, 2018",8:00p ET,,,@,Boston Celtics,,,,,,,,
70,"Sat, Mar 17, 2018",7:00p ET,,,vs,Indiana Pacers,,,,,,,,
71,"Wed, Mar 21, 2018",9:30p ET,,,@,San Antonio Spurs,,,,,,,,
72,"Fri, Mar 23, 2018",7:00p ET,,,vs,Denver Nuggets,,,,,,,,
73,"Sun, Mar 25, 2018",6:00p ET,,,vs,New York Knicks,,,,,,,,
74,"Tue, Mar 27, 2018",7:00p ET,,,vs,San Antonio Spurs,,,,,,,,
75,"Thu, Mar 29, 2018",7:00p ET,,,@,Detroit Pistons,,,,,,,,
76,"Sat, Mar 31, 2018",3:00p ET,,,vs,Charlotte Hornets,,,,,,,,
77,"Sun, Apr 1, 2018",3:30p ET,,,@,Chicago Bulls,,,,,,,,
78,"Tue, Apr 3, 2018",8:00p ET,,,@,Houston Rockets,,,,,,,,
79,"Thu, Apr 5, 2018",8:00p ET,,,@,Cleveland Cavaliers,,,,,,,,
80,"Fri, Apr 6, 2018",7:00p ET,,,vs,Atlanta Hawks,,,,,,,,
81,"Tue, Apr 10, 2018",8:00p ET,,,vs,Boston Celtics,,,,,,,,
82,"Wed, Apr 11, 2018",8:00p ET,,,@,Orlando Magic,,,,,,,,
,,,,,,,,,,,,,,
,"Sun, Nov 12, 2017",4:00p ET,,,@,Team Whatever,,,,,,,,
